,date,sn,model,cap_b,cap_gb,cap_tb,failure,reallocated_sector_count,operational_hours,turned_off_on,uncorrectable_errors,command_timeout,high_fly_writes,pending_sector_count,uncorrectable_sector_count
43,2019-01-10,ZA153S9S,ST8000NM0055,8001563222016,8001,8,1,24.0,13754.0,3.0,0.0,0.0,0.0,0.0,0.0
44,2019-01-10,ZA180QHT,ST8000NM0055,8001563222016,8001,8,1,10.0,11977.0,2.0,0.0,0.0,0.0,24.0,24.0
45,2019-01-10,ZCH06WP8,ST12000NM0007,12000138625024,12000,12,1,800.0,10872.0,7.0,0.0,0.0,,0.0,0.0
46,2019-01-10,ZJV00N9A,ST12000NM0007,12000138625024,12000,12,1,0.0,8759.0,4.0,0.0,0.0,,0.0,0.0
47,2019-01-10,ZCH08VPK,ST12000NM0007,12000138625024,12000,12,1,47616.0,8744.0,2.0,95.0,0.0,,0.0,0.0
48,2019-01-10,Z304ZBFY,ST4000DM000,4000787030016,4000,4,1,0.0,25226.0,6.0,18.0,0.0,0.0,8.0,8.0
49,2019-01-10,ZCH0BMML,ST12000NM0007,12000138625024,12000,12,1,6216.0,8763.0,5.0,2.0,25770262539.0,,0.0,0.0
50,2019-01-10,ZCH06MRJ,ST12000NM0007,12000138625024,12000,12,1,40.0,10470.0,2.0,13.0,0.0,,40.0,40.0
51,2019-01-11,ZCH07WGZ,ST12000NM0007,12000138625024,12000,12,1,61752.0,10112.0,4.0,21.0,0.0,,0.0,0.0
52,2019-01-11,S2ZYJ9CF715329,ST500LM012 HN,500107862016,500,0,1,0.0,36968.0,14.0,,,,1.0,0.0
53,2019-01-11,PL2331LAH3HXGJ,HGST HMS5C4040BLE640,4000787030016,4000,4,1,0.0,24319.0,9.0,,,,0.0,0.0
54,2019-01-11,ZCH07HK7,ST12000NM0007,12000138625024,12000,12,1,5768.0,9575.0,2.0,8.0,0.0,,0.0,0.0
55,2019-01-11,ZCH06L88,ST12000NM0007,12000138625024,12000,12,1,0.0,10877.0,9.0,0.0,0.0,,0.0,0.0
56,2019-01-11,ZA174KNX,ST8000NM0055,8001563222016,8001,8,1,8.0,13280.0,2.0,0.0,0.0,0.0,80.0,80.0
57,2019-01-11,ZA1814EZ,ST8000NM0055,8001563222016,8001,8,1,64.0,12655.0,3.0,0.0,0.0,0.0,0.0,0.0
58,2019-01-12,ZCH077G2,ST12000NM0007,12000138625024,12000,12,1,0.0,10141.0,7.0,0.0,0.0,,0.0,0.0
59,2019-01-13,S301GM8H,ST4000DM000,4000787030016,4000,4,1,0.0,28131.0,5.0,18.0,0.0,0.0,80.0,80.0
60,2019-01-13,S301GPB1,ST4000DM000,4000787030016,4000,4,1,0.0,29312.0,3.0,21.0,0.0,0.0,16.0,16.0
61,2019-01-13,S301GS1L,ST4000DM000,4000787030016,4000,4,1,0.0,29307.0,2.0,23.0,0.0,0.0,48.0,48.0
62,2019-01-13,Z303XYPJ,ST4000DM000,4000787030016,4000,4,1,0.0,27968.0,6.0,9.0,0.0,0.0,8.0,8.0
63,2019-01-14,96ICTBPQT,TOSHIBA MQ01ABF050,500107862016,500,0,1,0.0,17078.0,7.0,,,,0.0,0.0
